filename,psnr,ssim,niqe
1.png,18.84741571011944,0.8019478,0.9916068113038878
111.png,21.518128026164874,0.91858053,0.9713829277853653
146.png,21.995340608209023,0.8807852,1.0741899910683308
179.png,10.805606307472067,0.5939054,1.056264752126397
22.png,21.45696624698756,0.888333,0.9907167649199465
23.png,12.59608082968283,0.773149,1.0049630688897055
493.png,18.228195342633377,0.62860066,0.9146682505289088
547.png,19.21276653068533,0.8697999,1.0507998472755984
55.png,12.204225228810955,0.77644867,0.9301749334910046
665.png,18.52300608623196,0.8447539,1.0498488837918605
669.png,23.09794734383495,0.87393063,0.9608143204879043
748.png,19.29154331837356,0.83386606,1.0178628592366445
778.png,19.69665022264119,0.7281618,1.02401531284095
780.png,15.985393434722628,0.72489744,1.0712435930604616
79.png,21.057949138234182,0.9355375,0.9952916611348652
