filename,psnr,ssim,niqe
1.png,17.993726378074836,0.7490955,0.8148363240064357
111.png,20.821733872547927,0.8772842,0.8166974022171307
146.png,21.2185665513123,0.82740045,0.8780483105482819
179.png,10.75255333642783,0.56315714,0.876640490083505
22.png,20.606847093515327,0.815387,0.8595634865150275
23.png,12.07708690198646,0.68888164,0.9271801434799456
493.png,18.024000546178847,0.5671499,0.8405152010871095
547.png,19.879179465159975,0.823253,0.8654880988512985
55.png,11.738243461842634,0.7082982,0.844123837767657
665.png,16.67466716862935,0.7968237,0.9517470414991498
669.png,22.278670382022547,0.8288401,0.8208277437525455
748.png,19.896955146037907,0.7937539,0.8574059265057347
778.png,18.976522923177438,0.6324072,0.9493702242915969
780.png,16.164903813918343,0.7079136,0.9516561847543316
79.png,19.926060487193315,0.86466646,0.8082183961247181
