filename,psnr,ssim,niqe
1.png,9.154135051573533,0.48692155,1.2761058419899398
111.png,7.130542304747394,0.40271202,1.2821935768302093
146.png,8.374864130168874,0.4806541,1.3815942018202167
179.png,15.514081446490062,0.6683437,1.3801422490911341
22.png,7.822915858411195,0.42863068,1.3189462473892393
23.png,5.643717546657596,0.21025269,1.4000084546052316
493.png,12.705634041064766,0.33233127,1.2944018665878265
547.png,11.179145525684444,0.49935964,1.3965348318143744
55.png,5.572418659470824,0.21214183,1.3123585913970794
665.png,7.873454203327029,0.2379704,1.4406048213299483
669.png,8.464542736204514,0.40313733,1.3242939855854212
748.png,12.341020293188588,0.49886623,1.3210399012564522
778.png,10.419109464761483,0.26750866,1.3864455782474
780.png,14.497504745419157,0.47819972,1.4206011505373808
79.png,6.704196411713527,0.4265945,1.3241343665128686
